21.17,68.55
21.88,68.58
22.61,68.60
23.37,68.62
24.16,68.64
24.97,68.66
25.81,68.66
26.68,68.66
27.57,68.66
28.50,68.66
29.46,68.65
30.45,68.63
31.47,68.61
32.53,68.60
33.62,68.58
34.75,68.55
35.92,68.52
37.13,68.49
38.37,68.47
39.66,68.42
40.99,68.39
42.37,68.35
43.80,68.30
45.27,68.25
46.79,68.19
48.36,68.14
49.99,68.08
51.66,68.01
53.40,67.93
55.19,67.85
57.05,67.76
58.97,67.67
60.95,67.57
63.00,67.47
65.11,67.36
67.30,67.24
69.56,67.12
71.90,67.00
74.31,66.87
76.81,66.73
79.39,66.59
82.06,66.45
84.82,66.32
87.67,66.18
90.61,66.03
93.66,65.88
96.80,65.72
100.06,65.56
103.42,65.38
106.89,65.20
110.48,65.01
114.20,64.82
118.03,64.61
122.00,64.40
126.10,64.18
130.33,63.95
134.71,63.73
139.24,63.51
143.92,63.30
148.75,63.08
153.75,62.88
158.92,62.69
164.26,62.52
169.78,62.35
175.48,62.18
181.38,62.04
187.47,61.90
193.77,61.76
200.28,61.64
207.01,61.52
213.96,61.41
221.15,61.30
228.58,61.21
236.26,61.12
244.20,61.05
252.41,61.00
260.89,60.95
269.65,60.92
278.71,60.90
288.08,60.89
297.76,60.90
307.76,60.92
318.10,60.94
328.79,60.95
339.84,60.95
351.26,60.96
363.06,60.98
375.26,60.98
387.87,60.98
400.90,60.98
414.37,60.98
428.29,60.98
442.68,60.98
457.56,60.98
472.93,60.98
488.82,60.98
505.24,60.95
522.22,60.95
539.77,60.95
557.90,60.95
576.65,60.95
596.02,60.95
616.05,60.92
636.75,60.92
658.14,60.92
680.25,60.89
703.11,60.89
726.73,60.89
751.15,60.89
776.39,60.86
802.48,60.86
829.44,60.89
857.31,60.90
886.11,60.95
915.89,61.02
946.66,61.11
978.47,61.25
1011.34,61.42
1045.32,61.65
1080.45,61.92
1116.75,62.22
1154.27,62.54
1193.05,62.88
1233.14,63.21
1274.57,63.52
1317.40,63.82
1361.66,64.08
1407.41,64.30
1454.70,64.52
1503.58,64.72
1554.10,64.94
1606.31,65.17
1660.28,65.40
1716.07,65.66
1773.73,65.92
1833.32,66.20
1894.92,66.48
1958.59,66.77
2024.40,67.04
2092.42,67.31
2162.72,67.56
2235.39,67.81
2310.50,68.05
2388.13,68.28
2468.37,68.50
2551.30,68.72
2637.02,68.92
2725.63,69.12
2817.21,69.31
2911.86,69.48
3009.70,69.63
3110.82,69.75
3215.35,69.82
3323.38,69.86
3435.04,69.81
3550.46,69.72
3669.75,69.56
3793.06,69.34
3920.50,69.08
4052.23,68.80
4188.38,68.50
4329.11,68.20
4474.56,67.91
4624.91,67.62
4780.30,67.32
4940.91,67.00
5106.93,66.65
5278.52,66.27
5455.87,65.84
5639.19,65.36
5828.66,64.84
6024.50,64.39
6226.92,64.12
6436.14,64.08
6652.39,64.16
6875.91,64.24
7106.94,64.25
7345.72,64.17
7592.54,64.01
7847.64,63.84
8111.32,63.67
8383.85,63.46
8665.55,63.19
8956.71,62.92
9257.65,62.66
9568.70,62.35
9890.20,62.02
10222.51,61.69
10565.98,61.33
10920.99,60.96
11287.93,60.59
11667.20,60.21
12059.21,59.82
12464.39,59.43
12883.19,59.02
13316.05,58.64
13763.47,58.25
14225.91,57.87
14703.89,57.47
15197.94,57.07
15708.58,56.68
16236.38,56.28
16781.91,55.88
17345.78,55.49
17928.58,55.10
18530.98,54.71
19153.61,54.27
19619.53,53.98
